MAS: Financial Database - Exchange Rates,,,,,https://secure.mas.gov.sg/msb/ExchangeRates.aspx,,,,
,,,,,,,,,
Exchange Rates (Daily),,,,,,,,,
Jan 1988 to May 2014,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
1993,Jan,8,,2.5357,1.6625,21.47,64.06,,
,,15,,2.5517,1.6586,21.43,63.81,,
,,22,,2.5195,1.6538,21.38,63.73,,
,,29,,2.5015,1.6423,21.23,62.59,,
,Feb,5,,2.384,1.653,21.37,62.9,,
,,12,,2.3391,1.6496,21.33,62.61,,
,,19,,2.3911,1.6457,21.28,62.61,,
,,26,,2.3492,1.6451,21.27,62.47,,
,Mar,5,,2.3905,1.6435,21.25,62.78,,
,,12,,2.355,1.6469,21.29,63.18,,
,,19,,2.4351,1.6426,21.24,63.26,,
,,26,,2.4292,1.6453,21.28,63.32,,
,Apr,2,,2.4959,1.634,21.13,63.03,,
,,8,,2.4663,1.6265,21.03,63.04,,
,,16,,2.5056,1.6286,21.06,63.03,,
,,23,,2.518,1.6175,20.92,62.94,,
,,30,,2.5365,1.6151,20.89,62.87,,
,May,7,,2.5494,1.6109,20.84,62.78,,
,,14,,2.4651,1.6177,20.93,62.98,,
,,21,,2.5106,1.6151,20.9,62.98,,
,,28,,2.5088,1.6082,20.82,62.88,,
,Jun,4,,2.4812,1.6044,20.77,62.83,,
,,11,,2.4543,1.6083,20.81,62.82,,
,,18,,2.4495,1.6169,20.9,62.88,,
,,25,,2.3929,1.6273,20.97,62.86,,
,Jul,2,,2.4571,1.624,20.94,63.1,,
,,9,,2.4251,1.6233,20.94,63.22,,
,,16,,2.4131,1.6215,20.9,63.03,,
,,23,,2.4212,1.6176,20.87,63.05,,
,,30,,2.4017,1.6179,20.86,63.07,,
,Aug,6,,2.4089,1.6139,20.81,63.27,,
,,13,,2.3529,1.6089,20.75,63.04,,
,,20,,2.425,1.612,20.81,63.15,,
,,27,,2.4273,1.6067,20.73,63.06,,
,Sep,3,,2.4109,1.6056,20.72,63,,
,,10,,2.48,1.6,20.67,62.99,,
,,17,,2.4404,1.5949,20.63,62.62,,
,,24,,2.3989,1.5945,20.59,62.44,,
,Oct,1,,2.3698,1.585,20.5,62.18,,
,,8,,2.3861,1.5662,20.27,61.62,,
,,15,,2.3809,1.5695,20.32,61.68,,
,,22,,2.338,1.5718,20.31,61.72,,
,,29,,2.349,1.5785,20.42,61.72,,
,Nov,5,,2.3594,1.5928,20.61,62.28,,
,,12,,2.3554,1.5943,20.63,62.56,,
,,19,,2.3601,1.5998,20.7,62.68,,
,,26,,2.3785,1.5992,20.7,62.58,,
,Dec,3,,2.3763,1.6012,20.73,62.61,,
,,10,,2.3893,1.5984,20.69,62.62,,
,,17,,2.3695,1.5942,20.64,62.51,,
,,24,,2.3963,1.5944,20.64,62.07,,
,,31,,2.3802,1.608,20.82,59.53,,
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
1994,Jan,7,,2.3672,1.5968,20.67,60.84,,
,,14,,2.4058,1.6066,20.8,58.93,,
,,21,,2.4029,1.6057,20.79,58.7,,
,,28,,2.3999,1.5943,20.64,57.97,,
,Feb,4,,2.3615,1.5876,20.55,57.36,,
,,9,,2.334,1.588,20.49,57.57,,
,,18,,2.3529,1.588,20.54,57.16,,
,,25,,2.3509,1.5858,20.51,58.14,,
,Mar,4,,2.364,1.5829,20.49,58.11,,
,,11,,2.38,1.5841,20.5,58.24,,
,,18,,2.3607,1.5835,20.49,58.24,,
,,25,,2.3634,1.5811,20.47,58.14,,
,,31,,2.3246,1.5692,20.31,58.74,,
,Apr,8,,2.3162,1.5707,20.33,58.49,,
,,15,,2.3039,1.5618,20.21,58.12,,
,,22,,2.3214,1.5593,20.18,58.01,,
,,29,,2.3528,1.5549,20.13,57.95,,
,May,6,,2.3242,1.5568,20.15,58.8,,
,,13,,2.3259,1.5533,20.1,59.57,,
,,20,,2.3232,1.5401,19.94,59.27,,
,,27,,2.3188,1.5372,19.9,59.41,,
,Jun,3,,2.3174,1.5358,19.88,59.32,,
,,10,,2.3182,1.5347,19.82,59.11,,
,,17,,2.3304,1.5327,19.83,59.07,,
,,24,,2.3602,1.5272,19.76,59.02,,
,Jul,1,,2.3486,1.5236,19.71,58.51,,
,,8,,2.3429,1.5208,19.68,58.55,,
,,15,,2.3612,1.5143,19.6,58.43,,
,,22,,2.3072,1.5118,19.57,58.33,,
,,29,,2.31,1.5132,19.58,58.32,,
,Aug,5,,2.3169,1.5086,19.53,58.64,,
,,12,,2.3277,1.5058,19.49,58.9,,
,,19,,2.3302,1.5032,19.45,58.85,,
,,26,,2.3334,1.4996,19.4,58.89,,
,Sep,2,,2.3161,1.4997,19.41,58.73,,
,,9,,2.3143,1.4992,19.4,58.6,,
,,16,,2.324,1.4862,19.23,58.11,,
,,23,,2.3282,1.4768,19.11,57.76,,
,,30,,2.344,1.4838,19.2,57.87,,
,Oct,7,,2.3559,1.4823,19.18,57.82,,
,,14,,2.3537,1.4777,19.12,57.61,,
,,21,,2.405,1.4728,19.06,57.96,,
,,28,,2.4055,1.4713,19.04,57.66,,
,Nov,4,,2.3769,1.4689,19,57.37,,
,,11,,2.3539,1.4705,19.03,57.51,,
,,18,,2.3118,1.4718,19.04,57.33,,
,,25,,2.2914,1.4644,18.94,57.25,,
,Dec,2,,2.2965,1.4658,18.95,57.31,,
,,9,,2.2972,1.4705,19,57.33,,
,,16,,2.2908,1.4659,18.94,57.16,,
,,23,,2.2629,1.4633,18.91,57.08,,
,,30,,2.2782,1.4607,18.88,57.07,,
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
1995,Jan,6,,2.269,1.4527,18.76,56.98,,
,,13,,2.3025,1.4635,18.88,57.19,,
,,20,,2.2979,1.4493,18.71,56.89,,
,,27,,2.3069,1.4514,18.77,56.78,,
,Feb,3,,2.2959,1.4531,18.79,56.88,,
,,10,,2.2597,1.4525,18.78,56.99,,
,,17,,2.2896,1.4513,18.77,56.87,,
,,24,,2.3135,1.4516,18.78,56.87,,
,Mar,2,,2.3064,1.4497,18.75,56.76,,
,,10,,2.2785,1.417,18.33,55.57,,
,,17,,2.2454,1.4118,18.26,55.33,,
,,24,,2.2574,1.4175,18.33,55.56,,
,,31,,2.2781,1.4191,18.35,55.97,,
,Apr,7,,2.2578,1.4028,18.14,56.31,,
,,13,,2.2283,1.3975,18.07,56.74,,
,,21,,2.2515,1.399,18.09,56.5,,
,,28,,2.2522,1.3923,17.99,56.44,,
,May,5,,2.2405,1.3899,17.97,56.42,,
,,12,,2.193,1.4097,18.22,56.53,,
,,19,,2.1951,1.3936,18.01,56.36,,
,,26,,2.2346,1.3901,17.97,56.44,,
,Jun,2,,2.2241,1.3905,17.98,56.5,,
,,9,,2.2224,1.3918,17.99,56.99,,
,,16,,2.2334,1.3962,18.05,57.16,,
,,23,,2.2322,1.3978,18.07,57.33,,
,,30,,2.2213,1.3965,18.05,57.25,,
,Jul,7,,2.178,1.3985,18.07,57.28,,
,,14,,2.235,1.3985,18.07,57,,
,,21,,2.2335,1.401,18.11,57.17,,
,,28,,2.2261,1.3942,18.02,56.69,,
,Aug,4,,2.245,1.3987,18.07,56.82,,
,,11,,2.2182,1.3982,18.06,56.55,,
,,18,,2.2043,1.4273,18.43,57.22,,
,,25,,2.1987,1.4248,18.4,57.17,,
,Sep,1,,2.2057,1.4226,18.38,56.99,,
,,8,,2.2074,1.4258,18.42,57.03,,
,,15,,2.2229,1.4354,18.55,56.97,,
,,22,,2.2727,1.4371,18.58,57.17,,
,,29,,2.2451,1.4205,18.37,56.66,,
,Oct,6,,2.2665,1.4295,18.48,56.39,,
,,13,,2.2474,1.426,18.44,56.09,,
,,20,,2.2426,1.4233,18.4,56.37,,
,,27,,2.2357,1.4142,18.29,55.68,,
,Nov,3,,2.239,1.4173,18.33,55.65,,
,,10,,2.2296,1.4123,18.26,55.77,,
,,17,,2.1964,1.412,18.26,55.8,,
,,24,,2.2074,1.4118,18.25,55.56,,
,Dec,1,,2.1643,1.4123,18.26,55.74,,
,,8,,2.1663,1.4129,18.27,55.68,,
,,15,,2.1834,1.4161,18.31,55.7,,
,,22,,2.1806,1.4151,18.3,55.71,,
,,29,,2.1884,1.4143,18.29,55.67,,
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
1996,Jan,5,,2.2118,1.4264,18.44,55.83,,
,,12,,2.199,1.4243,18.42,55.66,,
,,19,,2.1483,1.4224,18.4,55.69,,
,,26,,2.1391,1.419,18.35,55.38,,
