MAS: Financial Database - Exchange Rates,,,,,https://secure.mas.gov.sg/msb/ExchangeRates.aspx,,,,
,,,,,,,,,
Exchange Rates (Daily),,,,,,,,,
Jan 1988 to May 2014,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
,,13,1.6011,1.994,1.2819,16.52,40.3,2.9989,4.0566
,,14,1.6108,1.9891,1.2814,16.52,40.26,3.0062,4.0589
,,15,1.6131,1.9843,1.2764,16.45,40.31,3.0136,4.0508
,,18,1.6107,1.9929,1.2685,16.35,40.3,3.0106,4.0327
,,19,1.5986,1.9879,1.2675,16.34,40.15,2.9979,4.0321
,,20,1.6081,1.9945,1.2687,16.35,40.17,3.0128,4.0321
,,21,1.6104,1.9928,1.2711,16.38,40.1,3.0085,4.0155
,,22,1.6039,1.9943,1.2776,16.46,40.04,3.0093,4.017
,,25,1.6059,1.9957,1.2803,16.5,40.13,3.0058,4.0173
,,26,1.6021,1.9959,1.281,16.51,40.09,3.0123,4.0213
,,27,1.5979,1.9981,1.2784,16.48,40.06,3.0172,4.0094
,,28,1.5972,1.9893,1.2755,16.44,39.95,3.0168,4.0035
,,29,1.6023,1.9889,1.2737,16.42,39.94,3.0125,4.0028
,Jul,2,1.6012,1.9864,1.2686,16.36,40.04,3.0208,4.0114
,,3,1.592,1.9842,1.264,16.3,40.04,3.0268,4.0076
,,4,1.5896,1.9791,1.2629,16.29,40.11,3.0238,4.0175
,,5,1.5865,1.9745,1.2665,16.33,40.03,3.0364,4.013
,,6,1.5714,1.9711,1.2694,16.37,40.03,3.0368,4.0126
,,9,1.5638,1.9712,1.2727,16.41,39.92,3.031,4.0054
,,10,1.5623,1.9711,1.2716,16.4,39.91,3.033,4.0057
,,11,1.5536,1.9675,1.2677,16.35,39.8,3.0245,3.9946
,,12,1.5502,1.9647,1.2669,16.34,39.79,3.0225,3.9877
,,13,1.5506,1.96,1.2696,16.37,39.84,3.0225,3.995
,,16,1.5484,1.97,1.265,16.31,39.83,3.018,4.0006
,,17,1.5515,1.9759,1.2612,16.26,39.9,3.0212,3.9962
,,18,1.5475,1.9718,1.2596,16.24,39.89,3.025,3.9836
,,19,1.5442,1.9678,1.2566,16.2,39.89,3.0102,3.9703
,,20,1.5384,1.9701,1.2543,16.17,39.78,2.9968,3.9555
,,23,1.5276,1.9642,1.2612,16.26,39.77,2.9989,3.9717
,,24,1.527,1.9552,1.2593,16.23,39.64,2.9951,3.9644
,,25,1.5228,1.9556,1.2611,16.26,39.63,2.9919,3.9695
,,26,1.5249,1.9447,1.2565,16.2,39.64,2.9821,3.9675
,,27,1.5377,1.9621,1.2515,16.13,39.65,2.9833,3.9573
,,30,1.5329,1.9608,1.247,16.08,39.58,2.9733,3.9506
,,31,1.5305,1.9586,1.2454,16.06,39.6,2.9773,3.9468
,Aug,1,1.5316,1.952,1.2456,16.06,39.95,2.9795,3.9518
,,2,1.5273,1.938,1.2472,16.08,39.87,2.9795,3.9537
,,3,1.5196,1.937,1.2479,16.09,39.8,2.9747,3.9478
,,6,1.5383,1.9384,1.2414,16.01,39.99,2.9702,3.9441
,,7,1.539,1.9348,1.2411,16,39.98,2.9642,3.9438
,,8,1.5413,1.9415,1.2433,16.03,40.1,2.9737,3.9432
,,10,1.5329,1.9475,1.2467,16.07,40.06,2.9758,3.9578
,,13,1.5305,1.9511,1.2448,16.05,39.92,2.9716,3.9593
,,14,1.5374,1.9539,1.2455,16.06,39.87,2.9665,3.9571
,,15,1.5389,1.957,1.2487,16.1,39.93,2.9653,3.9641
,,16,1.5377,1.9612,1.2514,16.13,39.93,2.9535,3.967
,,17,1.5463,1.9692,1.2523,16.14,39.96,2.963,3.9705
,,21,1.5456,1.9669,1.2512,16.13,39.94,2.9551,3.9752
,,22,1.56,1.9751,1.2518,16.14,40.06,2.9541,3.9835
,,23,1.561,1.9782,1.2443,16.04,40.09,2.9496,3.9798
,,24,1.5681,1.9805,1.2485,16.1,40.31,2.9599,3.9971
,,27,1.5655,1.9779,1.2515,16.14,40.25,2.9628,4.0035
,,28,1.5664,1.9789,1.255,16.18,40.19,2.9655,4
,,29,1.5741,1.983,1.2537,16.16,40.17,2.96,4.0016
,,30,1.5723,1.9848,1.2539,16.17,40.04,2.9619,3.992
,,31,1.5676,1.9779,1.2523,16.15,40.08,2.9679,3.9908
,Sep,3,1.5685,1.9793,1.2475,16.08,40.07,2.9671,3.9958
,,4,1.5701,1.9783,1.2444,16.04,40.1,2.9685,3.9897
,,5,1.5645,1.9792,1.2479,16.09,40.11,2.9733,3.9939
,,6,1.5717,1.9825,1.2464,16.07,39.99,2.9733,3.9885
,,7,1.5699,1.9796,1.2427,16.02,39.95,2.9776,3.9779
,,10,1.5798,1.9761,1.2356,15.93,39.81,2.9698,3.9736
,,11,1.5769,1.9761,1.2343,15.92,39.83,2.9642,3.9682
,,12,1.5806,1.9755,1.229,15.85,39.97,2.9625,3.9684
,,13,1.5863,1.9783,1.2277,15.83,39.83,2.9431,3.959
,,14,1.5916,1.9786,1.2219,15.76,40.09,2.9461,3.9627
,,17,1.6048,1.9836,1.2225,15.77,40.25,2.95,3.9692
,,18,1.6041,1.9893,1.2245,15.79,40.04,2.934,3.9641
,,19,1.5986,1.9903,1.2249,15.8,39.98,2.9413,3.9711
,,20,1.5936,1.9857,1.225,15.8,40.01,2.9415,3.9702
,,21,1.5883,1.987,1.224,15.79,39.98,2.9342,3.9663
,,24,1.5879,1.9889,1.2262,15.82,39.99,2.9363,3.9638
,,25,1.5871,1.9909,1.2268,15.82,40.01,2.9384,3.9657
,,26,1.5866,1.991,1.2298,15.86,39.94,2.9351,3.9684
,,27,1.5832,1.9897,1.2293,15.85,39.96,2.9339,3.9668
,,28,1.5844,1.9915,1.2254,15.8,39.97,2.9337,3.9773
,Oct,1,1.5779,1.9847,1.2307,15.87,40.08,2.9404,3.9887
,,2,1.583,1.9807,1.2275,15.83,40.24,2.9468,3.9932
,,3,1.5911,1.9887,1.2331,15.9,40.24,2.9585,4.0127
,,4,1.5912,1.9817,1.2309,15.87,40.25,2.9628,4.0147
,,5,1.5968,1.9872,1.2271,15.83,40.21,2.9622,4.0167
,,8,1.6,1.984,1.2314,15.88,40.14,2.9665,4.0183
,,9,1.5952,1.9705,1.2285,15.85,40.09,2.9692,4.0121
,,10,1.5822,1.9673,1.2302,15.87,39.96,2.9611,4.0026
,,11,1.5811,1.9692,1.2288,15.85,39.96,2.9542,4.0026
,,12,1.5797,1.9586,1.222,15.76,39.93,2.9428,3.9837
,,15,1.5781,1.9615,1.2228,15.77,39.94,2.9454,3.9759
,,16,1.5834,1.9628,1.2214,15.76,39.97,2.9506,3.9804
,,17,1.596,1.9658,1.2188,15.72,40.04,2.9557,3.9785
,,18,1.5952,1.9649,1.2183,15.72,40.09,2.9481,3.9801
,,19,1.5949,1.9594,1.2202,15.74,40.01,2.9459,3.9739
,,22,1.5921,1.9553,1.2209,15.75,39.97,2.9465,3.9711
,,23,1.5949,1.9566,1.2218,15.76,40.07,2.958,3.9785
,,24,1.5886,1.9499,1.2233,15.78,40,2.9573,3.9756
,,25,1.5857,1.9605,1.2219,15.77,40.06,2.955,3.9795
,,29,1.579,1.9638,1.2211,15.76,40,2.9606,3.9749
,,30,1.5779,1.9596,1.2224,15.77,39.94,2.9594,3.9766
,,31,1.5819,1.9631,1.2205,15.75,39.93,2.9595,3.9769
,Nov,1,1.5831,1.9692,1.2208,15.75,40,2.9703,3.9727
,,2,1.5795,1.9687,1.2214,15.76,40.03,2.9703,3.9746
,,5,1.5703,1.963,1.2248,15.8,39.96,2.9678,3.9779
,,6,1.5664,1.9573,1.2243,15.8,40,2.9684,3.9724
,,7,1.5691,1.9575,1.2215,15.76,40,2.9666,3.9756
,,8,1.5617,1.9567,1.2249,15.8,40,2.9803,3.9886
,,9,1.5623,1.9579,1.223,15.78,39.94,2.9789,3.9915
,,12,1.5561,1.9447,1.2227,15.77,39.94,2.9764,3.9912
,,14,1.5545,1.9413,1.222,15.77,39.89,2.9722,3.9831
,,15,1.5589,1.9396,1.2234,15.78,39.95,2.9687,3.985
,,16,1.5685,1.9477,1.228,15.84,39.99,2.9725,3.9935
,,19,1.5637,1.95,1.225,15.8,39.98,2.9693,3.9863
,,20,1.5662,1.9465,1.2233,15.78,40.02,2.9731,3.9879
,,21,1.5669,1.9527,1.2269,15.83,40,2.9786,3.9938
,,22,1.5738,1.9555,1.2251,15.81,40.02,2.9815,3.988
,,23,1.5778,1.9531,1.2246,15.8,40.01,2.9814,3.9824
,,26,1.5848,1.9598,1.2229,15.78,40.04,2.9816,3.9866
,,27,1.5858,1.9588,1.2217,15.76,40.03,2.9838,3.9801
,,28,1.5811,1.9577,1.2227,15.78,40.06,2.9911,3.9814
,,29,1.5826,1.9572,1.222,15.77,40.07,2.9867,3.9766
,,30,1.5864,1.9589,1.2209,15.75,40.11,2.9865,3.9782
,Dec,3,1.5915,1.9578,1.2206,15.75,40.12,2.9869,3.9791
,,4,1.5921,1.9628,1.219,15.73,40.07,2.9797,3.9785
,,5,1.5975,1.963,1.2186,15.72,40.01,2.9822,3.9694
,,6,1.5923,1.9625,1.22,15.74,40.05,2.9818,3.9811
,,7,1.5833,1.9599,1.221,15.75,40.01,2.9813,3.9811
,,10,1.576,1.9584,1.222,15.77,39.98,2.9852,3.9863
,,11,1.5807,1.9648,1.2224,15.77,39.88,2.9847,3.9876
,,12,1.5881,1.9673,1.2213,15.76,39.96,2.9788,3.9847
,,13,1.5966,1.97,1.221,15.75,40.02,2.9744,3.985
,,14,1.5987,1.9682,1.2214,15.76,39.95,2.9685,3.9863
,,17,1.6049,1.972,1.2202,15.74,39.91,2.9728,3.9895
,,18,1.6065,1.9775,1.2196,15.74,39.93,2.9714,3.9902
,,19,1.6149,1.9822,1.219,15.73,39.96,2.9688,3.9843
,,20,1.6138,1.9841,1.2201,15.74,39.88,2.9726,3.982
,,21,1.6108,1.9832,1.2204,15.75,39.86,2.9665,3.9811
,,24,1.6101,1.9748,1.2215,15.76,39.85,2.9706,3.9879
,,26,1.6134,1.9733,1.2237,15.79,39.85,2.9738,3.9925
,,27,1.6188,1.9738,1.2232,15.78,39.91,2.9693,3.9915
,,28,1.6204,1.9711,1.2235,15.78,39.98,2.9517,3.9944
,,31,1.6151,1.9752,1.2221,15.77,39.95,2.9749,3.9938
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
2013,Jan,2,1.6221,1.996,1.2208,15.75,40.19,2.9863,4.0072
,,3,1.606,1.9825,1.2227,15.77,40.27,2.9964,4.0247
,,4,1.602,1.9757,1.2296,15.86,40.38,3.0082,4.0381
,,7,1.6063,1.9752,1.2307,15.88,40.45,3.0102,4.0417
,,8,1.6126,1.9795,1.2289,15.85,40.42,3.0072,4.0384
,,9,1.6056,1.9702,1.2281,15.84,40.38,3.0067,4.0371
,,10,1.601,1.9648,1.2268,15.83,40.4,3.0098,4.0369
,,11,1.623,1.9771,1.2242,15.79,40.54,3.0175,4.0443
,,14,1.643,1.9806,1.2261,15.82,40.65,3.0166,4.0492
,,15,1.6361,1.9695,1.2245,15.79,40.74,3.0179,4.0695
,,16,1.6279,1.9684,1.2248,15.8,40.62,3.0149,4.0936
,,17,1.6269,1.9583,1.2248,15.8,40.55,3.0153,4.1004
,,18,1.6392,1.9576,1.2251,15.8,40.66,3.019,4.1118
,,21,1.6365,1.9494,1.2288,15.85,40.68,3.0225,4.1409
,,22,1.6362,1.946,1.2281,15.84,40.44,3.0238,4.1281
,,23,1.6347,1.9434,1.2277,15.83,40.42,3.0218,4.1253
,,24,1.6339,1.943,1.2269,15.82,40.34,3.0204,4.1137
,,25,1.6444,1.9419,1.2311,15.88,40.31,3.0244,4.1195
,,28,1.662,1.9463,1.2353,15.93,40.57,3.0363,4.1252
,,29,1.6649,1.9428,1.2376,15.95,40.21,3.0337,4.1447
,,30,1.6656,1.9452,1.2349,15.92,40.15,3.0371,4.1474
,,31,1.6816,1.9586,1.2389,15.97,39.97,3.0473,4.1609
,Feb,1,1.6894,1.9694,1.2415,16.01,39.96,3.0448,4.1536
,,4,1.6887,1.9444,1.2388,15.97,39.95,3.0512,4.1654
,,5,1.67,1.9493,1.2376,15.96,39.99,3.0457,4.1593
,,6,1.6802,1.937,1.2372,15.96,40,3.0443,4.1566
,,7,1.6731,1.9389,1.2385,15.97,39.96,3.0441,4.1574
,,8,1.661,1.9469,1.2385,15.97,40,3.0452,4.156
,,13,1.6641,1.9399,1.2378,15.96,39.97,3.0446,4.1509
,,14,1.6606,1.9177,1.2351,15.93,40.02,3.0402,4.1432
,,15,1.6499,1.9162,1.2348,15.92,39.91,3.041,4.1367
,,18,1.6527,1.9191,1.24,15.99,40.01,3.0512,4.1485
,,19,1.6534,1.9158,1.2389,15.98,39.98,3.0504,4.1463
,,20,1.6588,1.9101,1.2368,15.95,39.95,3.0446,4.1448
,,21,1.6445,1.8864,1.24,15.99,39.92,3.0444,4.1472
,,22,1.6349,1.889,1.2377,15.96,39.93,3.0395,4.1506
,,25,1.6347,1.8749,1.2397,15.98,39.95,3.0448,4.151
,,26,1.6181,1.8846,1.2389,15.97,39.93,3.0417,4.1483
,,27,1.6169,1.8698,1.2376,15.95,39.93,3.0374,4.1495
,,28,1.6251,1.8755,1.2363,15.94,39.99,3.0402,4.1452
,Mar,1,1.6178,1.8771,1.2371,15.95,39.98,3.0392,4.1597
,,4,1.6199,1.8704,1.2437,16.04,40.06,3.0509,4.1742
,,5,1.6216,1.8832,1.2442,16.04,40.15,3.0563,4.1766
,,6,1.6253,1.884,1.2442,16.04,40.1,3.0589,4.1836
,,7,1.6218,1.8729,1.2486,16.1,40.16,3.0637,4.1935
,,8,1.6331,1.8709,1.2468,16.07,40.14,3.0623,4.193
,,11,1.6244,1.8636,1.2489,16.1,40.16,3.0687,4.1966
,,12,1.6254,1.8583,1.2476,16.09,40.16,3.0721,4.2149
,,13,1.626,1.8633,1.2471,16.08,40.18,3.0721,4.2103
,,14,1.6184,1.8657,1.2489,16.1,40.11,3.0742,4.2121
,,15,1.6244,1.8831,1.2484,16.09,40.06,3.0749,4.219
,,18,1.615,1.8899,1.2509,16.12,39.92,3.0735,4.2296
,,19,1.6185,1.8871,1.2495,16.1,40.04,3.0723,4.2558
,,20,1.6123,1.8897,1.2523,16.13,40.03,3.0728,4.2938
,,21,1.6195,1.8917,1.2507,16.11,40.09,3.07,4.281
,,22,1.6137,1.8973,1.2494,16.1,40.12,3.0604,4.2744
,,25,1.6225,1.8985,1.2453,16.04,40.29,3.0518,4.2574
,,26,1.5972,1.8845,1.2411,15.99,40.12,3.0323,4.2286
,,27,1.5966,1.8842,1.2431,16.02,40.1,3.032,4.2369
,,28,1.5892,1.8823,1.2436,16.02,40.07,3.0465,4.2502
,Apr,1,1.5871,1.8851,1.2417,15.99,40.09,3.0423,4.2372
,,2,1.5917,1.886,1.2364,15.93,40.1,3.0293,4.2176
,,3,1.5872,1.8699,1.2394,15.97,40.12,3.0303,4.2142
,,4,1.5905,1.8733,1.238,15.95,40.29,3.0166,4.2145
,,5,1.6035,1.8889,1.2402,15.98,40.47,3.0118,4.2335
,,8,1.6127,1.9027,1.2413,15.99,40.6,3.007,4.2445
,,9,1.6184,1.8941,1.2406,15.98,40.63,3.0031,4.2801
,,10,1.6199,1.8981,1.2375,15.94,40.81,3.0095,4.2694
,,11,1.6167,1.8979,1.238,15.95,40.77,3.0217,4.2682
,,12,1.6223,1.9052,1.2373,15.94,40.75,3.0021,4.2607
,,15,1.6174,1.8951,1.2372,15.94,40.68,2.9982,4.2494
,,16,1.6169,1.8943,1.2377,15.94,40.71,2.9943,4.2511
,,17,1.6253,1.8947,1.2337,15.89,40.74,2.9875,4.26
,,18,1.6133,1.8851,1.2357,15.92,40.76,2.9964,4.2973
,,19,1.6143,1.8897,1.2356,15.92,40.68,3.0038,4.303
,,22,1.6185,1.8856,1.2377,15.94,40.71,3.01,4.3216
,,23,1.6175,1.8931,1.2407,15.98,40.62,3.0058,4.308
,,24,1.6138,1.8925,1.2413,15.99,40.64,3.0067,4.3033
,,25,1.617,1.8994,1.2394,15.96,40.77,3.0021,4.2901
,,26,1.6128,1.9118,1.2373,15.94,40.75,3.0039,4.2279
,,29,1.6112,1.9166,1.2347,15.9,40.74,2.9983,4.2205
,,30,1.6163,1.9112,1.2342,15.9,40.71,3.0007,4.2087
,May,2,1.6247,1.9178,1.2338,15.9,40.43,2.9958,4.198
,,3,1.6142,1.9166,1.2346,15.91,40.55,3.0164,4.1688
,,6,1.6144,1.9167,1.2304,15.86,41.48,3.0127,4.1617
,,7,1.6096,1.913,1.2306,15.86,41.46,3.011,4.1511
,,8,1.6122,1.9064,1.2315,15.87,41.35,3.0158,4.1598
,,9,1.6172,1.9086,1.2282,15.83,41.43,3.014,4.174
,,10,1.6117,1.9088,1.2356,15.92,41.35,3.0038,4.1666
,,13,1.6092,1.9044,1.2412,15.99,41.32,3.0181,4.163
,,14,1.6118,1.8974,1.2391,15.97,41.45,3.0064,4.1819
,,15,1.6068,1.8917,1.2423,16.01,41.42,3.0208,4.1814
,,16,1.6041,1.8974,1.2465,16.06,41.48,3.0288,4.2012
,,17,1.6134,1.9126,1.2545,16.16,41.53,3.0465,4.2119
,,20,1.611,1.9067,1.2544,16.16,41.55,3.0443,4.2002
,,21,1.6169,1.9134,1.2545,16.16,41.66,3.0486,4.2211
,,22,1.627,1.9078,1.2592,16.22,41.73,3.0563,4.2262
,,23,1.6287,1.9055,1.2676,16.33,41.77,3.05,4.2211
,,27,1.6344,1.9125,1.2649,16.29,41.73,3.0381,4.2269
,,28,1.6323,1.9087,1.2637,16.28,41.6,3.0196,4.2236
,,29,1.6321,1.9079,1.2694,16.35,41.51,3.0056,4.2124
,,30,1.6402,1.9154,1.2659,16.31,41.24,2.9934,4.1945
,,31,1.6444,1.9202,1.2613,16.25,40.88,2.9814,4.18
,Jun,3,1.6402,1.9175,1.2603,16.23,40.81,2.9847,4.1382
,,4,1.6346,1.917,1.2519,16.13,40.46,2.985,4.1161
,,5,1.6352,1.9136,1.249,16.09,40.48,2.9823,4.0911
,,6,1.6368,1.9252,1.2504,16.11,40.46,2.963,4.0883
,,7,1.6461,1.9365,1.2416,16,40.24,2.9492,4.0502
,,10,1.6556,1.9473,1.2543,16.16,40.16,2.9503,4.081
,,11,1.6724,1.9633,1.2598,16.23,40.04,2.9155,4.0737
,,12,1.672,1.965,1.2561,16.18,39.92,2.9137,4.0363
,,13,1.6802,1.9726,1.2578,16.2,39.91,2.9065,4.0659
,,14,1.671,1.9653,1.2517,16.12,40.07,2.9208,4.0972
,,17,1.6714,1.9701,1.2546,16.17,40.04,2.9218,4.0906
,,18,1.6841,1.9802,1.2608,16.25,39.97,2.9183,4.0995
,,19,1.6871,1.9701,1.2598,16.24,39.84,2.9165,4.0737
,,20,1.6853,1.9628,1.2708,16.38,39.71,2.9083,4.098
,,21,1.6884,1.9787,1.2755,16.44,39.74,2.9068,4.0862
,,24,1.6721,1.9635,1.2765,16.46,39.68,2.9217,4.1032
,,25,1.6731,1.9689,1.2758,16.45,39.72,2.9168,4.1188
,,26,1.662,1.9613,1.2716,16.39,39.83,2.9327,4.096
,,27,1.6527,1.946,1.2684,16.35,39.79,2.929,4.0765
,,28,1.6535,1.932,1.2652,16.31,39.8,2.925,4.059
,Jul,1,1.65,1.9273,1.2669,16.34,40.02,2.9418,4.0822
,,2,1.6542,1.9267,1.2664,16.33,39.96,2.923,4.0931
,,3,1.6511,1.9283,1.2727,16.41,40,2.9318,4.0929
,,4,1.6524,1.9403,1.2713,16.4,39.92,2.9283,4.0898
,,5,1.6457,1.9193,1.2759,16.46,40.05,2.9395,4.0953
,,8,1.6472,1.911,1.2846,16.56,40.01,2.9411,4.0826
,,9,1.6421,1.9078,1.277,16.46,40.01,2.9276,4.0701
,,10,1.6329,1.9,1.2779,16.47,40.1,2.9441,4.086
,,11,1.6576,1.9118,1.2619,16.27,40,2.917,4.0608
,,12,1.6496,1.9137,1.2606,16.25,39.83,2.9066,4.0508
,,15,1.6522,1.9112,1.2642,16.29,39.7,2.9099,4.0591
,,16,1.6492,1.9059,1.2618,16.26,39.65,2.9084,4.0598
,,17,1.6573,1.9067,1.2612,16.26,39.52,2.9107,4.0638
,,18,1.6577,1.9219,1.2658,16.32,39.59,2.9126,4.0747
,,19,1.6651,1.9307,1.2677,16.34,39.63,2.9216,4.0736
,,22,1.6611,1.9303,1.2627,16.28,39.71,2.9195,4.0791
,,23,1.6653,1.9394,1.2618,16.26,39.79,2.9235,4.0789
,,24,1.6704,1.9424,1.2646,16.3,39.77,2.9246,4.0886
,,25,1.6737,1.9429,1.2676,16.34,39.61,2.9234,4.0785
,,26,1.6767,1.9437,1.2624,16.27,39.39,2.9151,4.0585
,,29,1.682,1.9487,1.2663,16.32,39.33,2.9214,4.0632
,,30,1.6816,1.9441,1.269,16.36,39.23,2.9233,4.0589
,,31,1.6885,1.9394,1.2738,16.42,39.21,2.9259,4.0612
,Aug,1,1.6879,1.9278,1.2714,16.39,39.27,2.9253,4.0626
,,2,1.686,1.9299,1.2756,16.45,39.23,2.9259,4.0631
,,5,1.6868,1.9402,1.2706,16.38,39.14,2.9202,4.0575
,,6,1.6804,1.9449,1.2668,16.33,39.22,2.9108,4.0363
,,7,1.6866,1.9441,1.2684,16.35,38.97,2.9075,4.0299
,,12,1.6809,1.9547,1.2615,16.27,38.92,2.8909,4.04
,,13,1.6805,1.9522,1.2624,16.28,38.77,2.888,4.0384
,,14,1.6813,1.9581,1.2676,16.34,38.76,2.8942,4.0518
,,15,1.6865,1.9692,1.2685,16.36,38.73,2.9003,4.0573
,,16,1.6956,1.9866,1.2706,16.39,38.77,2.9019,4.0601
,,19,1.6987,1.9915,1.2745,16.44,38.8,2.9215,4.066
,,20,1.7064,1.9999,1.278,16.48,38.76,2.9238,4.0392
,,21,1.7143,2.0008,1.2773,16.47,38.79,2.9179,4.0198
,,22,1.713,2.0033,1.2841,16.56,38.66,2.908,3.9947
,,23,1.7085,1.995,1.28,16.5,38.71,2.8927,4.0056
,,26,1.7122,1.9923,1.2793,16.5,38.77,2.8934,4.0047
,,27,1.7148,1.9961,1.2822,16.53,38.49,2.8865,3.9863
,,28,1.7164,1.9916,1.2824,16.53,38.45,2.8724,3.9715
,,29,1.7034,1.9851,1.2769,16.47,38.46,2.8627,3.9692
,,30,1.689,1.979,1.2757,16.45,38.66,2.8592,3.9748
,Sep,2,1.6826,1.9822,1.274,16.43,38.78,2.8578,3.9608
,,3,1.6786,1.9797,1.2727,16.41,39,2.8726,3.9716
,,4,1.6829,1.9894,1.2782,16.48,38.69,2.8656,3.964
,,5,1.6832,1.9922,1.2756,16.45,38.89,2.8765,3.9646
,,6,1.681,1.9979,1.2797,16.5,38.57,2.8754,3.9473
,,9,1.6789,1.9941,1.2747,16.44,38.45,2.8729,3.9471
,,10,1.6824,1.9923,1.2688,16.36,38.78,2.8907,3.9545
,,11,1.6845,1.9975,1.2702,16.38,38.76,2.9,3.9502
,,12,1.6879,2.0053,1.2668,16.34,38.81,2.8936,3.9931
,,13,1.6865,2.005,1.2694,16.37,38.58,2.8942,3.9893
,,16,1.6873,2.0136,1.2621,16.28,38.36,2.8878,3.9833
,,17,1.6854,2.0095,1.2639,16.3,38.77,2.8897,3.9733
,,18,1.6829,2.0039,1.2604,16.25,38.95,2.8925,3.9798
,,19,1.6842,2.0074,1.2446,16.05,39.34,2.887,4.0129
,,20,1.6868,1.9992,1.246,16.07,39.46,2.8951,4.0213
,,23,1.6899,2.0011,1.2492,16.11,39.38,2.895,4.0167
,,24,1.6909,2.0087,1.2531,16.16,39.09,2.8893,4.0042
,,25,1.6925,2.0088,1.2569,16.21,38.83,2.8864,3.999
,,26,1.697,2.0173,1.2549,16.18,38.96,2.89,4.0105
,,27,1.6927,2.0145,1.2556,16.19,38.95,2.8971,4.0205
,,30,1.6975,2.0325,1.2572,16.21,38.59,2.8876,4.0051
,Oct,1,1.6964,2.0353,1.2536,16.16,38.67,2.8891,4.0147
,,2,1.6942,2.0262,1.2528,16.16,38.74,2.8866,4.0038
,,3,1.6984,2.0268,1.2482,16.1,39.02,2.8907,4.0006
,,4,1.6999,2.0175,1.2477,16.09,38.98,2.8912,3.9824
,,7,1.6932,2.0012,1.2482,16.1,39.13,2.8937,3.9828
,,8,1.695,2.0094,1.2498,16.12,39.07,2.9008,3.9803
,,9,1.6974,2.0102,1.2513,16.14,38.97,2.8989,3.985
,,10,1.6916,1.9965,1.2532,16.16,39.1,2.8982,3.9803
,,11,1.6903,1.9952,1.2485,16.1,39.25,2.8964,3.9901
,,14,1.6898,1.9912,1.2459,16.07,39.19,2.8877,3.9773
,,16,1.6787,1.984,1.2424,16.02,39.22,2.8773,3.9744
,,17,1.6855,1.9881,1.2443,16.05,39.31,2.8857,3.9958
,,18,1.6937,2.0015,1.2395,15.99,39.34,2.8789,3.9932
,,21,1.6979,2.0062,1.2416,16.01,39.17,2.8774,3.9949
,,22,1.6979,2.003,1.2424,16.03,39.01,2.8753,3.9865
,,23,1.7045,2.0084,1.2363,15.95,39.22,2.8711,3.9874
,,24,1.7065,2.0044,1.2375,15.96,39.2,2.8716,3.9727
,,25,1.7082,2.005,1.2375,15.96,39.29,2.8729,3.9746
,,28,1.7073,2.0007,1.2364,15.95,39.41,2.87,3.9781
,,29,1.7065,1.9934,1.2386,15.97,39.4,2.8695,3.9852
,,30,1.7034,1.9885,1.2398,15.99,39.29,2.8704,3.991
,,31,1.6996,1.985,1.2394,15.99,39.25,2.865,3.9865
,Nov,1,1.6832,1.9908,1.2417,16.02,39.19,2.8726,3.9798
,,4,1.6757,1.9794,1.2432,16.04,39.11,2.8701,3.9744
,,5,1.6776,1.9843,1.2423,16.03,39.15,2.8691,3.9677
,,6,1.6801,2.0005,1.2433,16.04,39.1,2.8747,3.9754
,,7,1.6793,1.9971,1.2422,16.03,39.06,2.8733,3.9725
,,8,1.6681,2.0023,1.2439,16.05,39.02,2.8791,3.9653
,,11,1.6661,1.9968,1.2468,16.08,39.01,2.8745,3.94
,,12,1.6723,1.9944,1.248,16.1,38.96,2.8583,3.9531
,,13,1.6796,1.9845,1.2489,16.11,38.92,2.8541,3.9541
,,14,1.6783,1.9985,1.2464,16.08,38.99,2.861,3.9568
,,15,1.6784,2.0043,1.2477,16.09,39,2.8633,3.9472
,,18,1.6819,2.0095,1.2462,16.07,39,2.8568,3.9449
,,19,1.6832,2.0063,1.2462,16.07,39.08,2.8602,3.943
,,20,1.6858,2.0034,1.2435,16.04,39.11,2.8545,3.9277
,,21,1.676,2.0083,1.2484,16.1,38.96,2.8502,3.9276
,,22,1.6846,2.0247,1.251,16.14,38.89,2.8511,3.9321
,,25,1.6962,2.0317,1.2522,16.15,38.81,2.8524,3.9174
,,26,1.6931,2.0212,1.2513,16.14,38.85,2.8575,3.9042
,,27,1.702,2.0318,1.2524,16.16,38.84,2.8659,3.9089
,,28,1.7038,2.0453,1.2548,16.19,38.78,2.8691,3.8975
,,29,1.7097,2.055,1.2555,16.19,38.91,2.8686,3.9137
